obsHistID,expMJD,filter,FWHMeff,fiveSigmaDepth
183767,59823.286523,g,1.093153,24.377204
183811,59823.307264,g,1.23193,24.289872
184047,59823.418685,z,0.908511,21.923566
185595,59825.256044,r,0.949096,24.128617
185736,59825.325979,g,1.242407,24.316968
185785,59825.352519,g,1.139232,24.436879
187493,59827.2603,z,0.807941,22.896684
187525,59827.278039,z,0.789221,22.990253
187546,59827.287816,z,0.748829,23.078407
187589,59827.307705,z,0.78313,23.152559
187603,59827.314787,z,0.737639,23.278169
188992,59831.282065,y,0.864951,21.637001
188998,59831.284749,y,0.86527,21.638293
189408,59832.286563,y,0.927227,21.565914
189410,59832.287459,y,0.892628,21.607713
189438,59832.300037,y,0.901127,21.603858
190235,59835.229203,y,0.687516,21.848489
190247,59835.234574,y,0.697389,21.839287
190261,59835.240838,y,0.682609,21.869248
190486,59835.342307,y,0.740154,21.831827
190506,59835.352406,y,0.726127,21.853582
191253,59836.27921,z,0.805327,22.48682
191280,59836.291765,z,0.89064,22.393466
191299,59836.300643,z,0.877464,22.419594
191340,59836.319672,z,0.842551,22.481365
192895,59839.212084,r,0.87897,23.996169
193130,59839.325615,r,0.910452,24.026352
193170,59839.34463,r,0.72798,24.269137
195529,59842.194696,r,0.969729,24.064754
196438,59843.19904,i,0.959816,23.441221
196476,59843.216405,i,0.8201,23.655955
196570,59843.258667,i,0.909227,23.621382
196611,59843.280976,i,0.745115,23.86419
197356,59844.223991,r,0.830065,24.326122
197394,59844.241759,r,0.854513,24.329096
199504,59849.203519,r,1.224899,23.888403
199540,59849.219946,r,1.173648,23.969609
200152,59850.223152,i,1.057096,23.432202
200184,59850.241578,i,0.977688,23.543202
200705,59851.196667,u,1.300213,22.885441
200725,59851.205001,u,1.178473,23.02279
203564,59856.202558,i,0.944478,23.308269
203610,59856.223898,i,0.845476,23.489037
206057,59859.172625,y,0.788412,21.710002
207770,59861.15838,y,0.965394,21.48014
207800,59861.171813,y,0.932761,21.532221
210472,59864.23529,z,0.757954,22.472835
210522,59864.260556,z,0.695008,22.584469
211239,59866.207968,i,0.873485,23.150693
211269,59866.221884,i,0.851131,23.181887
217577,59874.157263,u,0.972417,23.277217
219936,59877.132868,r,0.74374,24.443149
219966,59877.146397,r,0.754402,24.454931
228838,59895.256522,i,0.884249,23.155983
228869,59895.270791,i,0.7948,23.252748
235013,59904.054465,u,1.045676,23.125721
237856,59908.019985,z,1.382836,21.437628
237886,59908.033468,z,1.177236,21.619118
238575,59909.021561,z,0.909841,21.894445
238613,59909.038773,z,0.836604,21.993334
242287,59914.044638,y,0.887578,21.601398
246591,59920.059321,y,0.802471,21.729546
250374,59926.1555,r,0.620962,24.440045
250407,59926.170531,r,0.685632,24.294913
252892,59930.039128,y,0.692495,21.744103
254312,59932.087256,g,0.651481,25.056335
254349,59932.109018,g,0.575433,25.192101
261962,59944.136597,i,0.583529,23.716514
261993,59944.150962,i,0.570036,23.740418
269090,59954.135576,i,0.769235,23.355418
269132,59954.155495,i,0.75627,23.29547
277107,59968.106906,u,1.156608,23.079624
282353,59978.069577,y,0.583834,22.06317
284051,59980.123537,y,0.800696,21.65707
286215,59984.023061,z,0.684503,22.226703
286255,59984.041429,z,0.727005,22.157973
295938,59996.016816,z,0.77847,22.081877
295972,59996.032231,z,0.730272,22.147092
306138,60009.025005,y,1.194446,21.249942
316732,60021.008047,z,0.822631,21.9987
390585,60132.428535,y,0.858329,21.473354
390599,60132.434799,y,0.856433,21.481727
395389,60140.442498,z,0.713976,22.176739
398400,60143.415058,r,1.141389,24.000999
400437,60145.41211,g,0.876033,24.634283
401557,60147.365899,r,1.175973,23.877067
401596,60147.385248,r,1.117925,23.983228
406930,60158.377418,y,0.709267,21.846192
409007,60160.385859,z,0.684982,22.723531
409037,60160.399405,z,0.688699,22.742112
410887,60162.321471,y,0.882306,21.561258
410902,60162.329563,i,1.002319,22.827279
410929,60162.341777,i,0.984303,22.880996
417060,60175.340959,r,0.796793,24.414606
417099,60175.358647,r,0.815984,24.41423
417975,60176.295388,u,1.18343,22.941099
419722,60178.315037,g,0.78973,24.731483
419767,60178.33579,g,0.730282,24.858513
420610,60179.271522,i,1.025235,23.348474
420652,60179.291217,i,1.167156,23.260885
425486,60184.263747,y,0.959363,21.473743
428498,60193.324847,i,0.954296,23.293531
428531,60193.3414,i,1.0763,23.172308
429132,60195.230303,r,1.039996,23.992679
431150,60198.229227,u,1.310686,22.801215
433920,60201.224154,u,1.282806,22.833503
436768,60206.394103,z,0.632319,22.31533
437319,60207.233792,i,0.992328,23.478914
437349,60207.24742,i,0.947824,23.553675
439120,60209.224161,r,1.013386,24.055257
440982,60211.250774,r,0.900613,24.027205
441020,60211.269354,r,0.82764,24.178566
443137,60215.239884,y,1.050191,21.431722
443780,60216.196877,z,0.972912,21.889036
443821,60216.215451,z,0.896588,22.016881
444687,60217.199835,y,0.807919,21.690936
444737,60217.222199,y,0.944616,21.539237
444751,60217.228518,y,0.958651,21.527296
447526,60223.190851,r,1.187345,23.946652
448301,60224.160661,r,0.94411,24.129808
448346,60224.183071,r,0.901836,24.234736
449903,60227.199415,g,0.837021,24.705846
449954,60227.223229,g,0.779255,24.820429
458259,60242.110045,y,0.721431,21.789691
458622,60242.283344,i,0.79914,23.377774
458668,60242.307171,i,0.716838,23.543676
461451,60246.102505,y,0.734069,21.775181
465984,60260.073383,u,1.471196,22.736181
470398,60267.040347,r,1.198387,23.74294
471884,60269.039442,y,0.866475,21.594804
474779,60273.019818,z,0.994213,21.795397
474805,60273.031529,z,0.927792,21.876461
476328,60275.046622,z,1.066163,21.912062
476369,60275.066217,z,0.906596,22.10007
479257,60279.05136,g,1.211126,24.293141
479286,60279.064425,g,1.179316,24.345811
479666,60279.24758,i,1.011179,23.046458
479703,60279.265047,i,1.141117,22.872658
484866,60290.032204,z,0.744661,22.130885
484906,60290.050584,z,0.728011,22.159041
490000,60297.112948,r,0.804152,24.295629
496953,60309.212443,i,0.925059,23.03613
512655,60331.076229,y,0.996808,21.496563
513434,60332.097749,y,0.89211,21.604464
516300,60336.03705,z,1.478292,21.393475
523889,60350.037338,z,0.790463,22.067532
530317,60359.035496,y,0.635699,21.815942
532800,60362.061758,y,0.994829,21.444391
538392,60369.011023,z,0.93092,21.883531
538431,60369.029012,z,0.971974,22.736008
614607,60498.400824,i,1.246113,23.145535
614643,60498.418483,i,1.179618,23.251737
615742,60499.426584,u,1.161205,23.025886
617751,60501.393583,g,1.056155,24.308805
617785,60501.409224,g,1.006055,24.412876
627968,60512.402194,z,0.84779,22.370381
628000,60512.421918,z,0.815221,22.480184
632472,60520.391818,r,1.054987,23.906856
632507,60520.409016,r,1.023743,23.964786
635872,60528.353616,i,0.930467,23.546855
635910,60528.371236,i,0.896183,23.619499
638838,60531.336983,r,1.027302,24.081902
638862,60531.348133,r,0.999843,24.135355
645549,60539.328782,y,0.893323,21.59136
645586,60539.346524,y,0.86252,21.641837
646585,60540.337081,y,0.752611,21.785639
646601,60540.34424,y,0.74263,21.80475
646616,60540.350994,y,0.73413,21.821146
647533,60541.301469,y,1.01952,21.427033
654482,60549.280377,i,0.928414,23.455802
654515,60549.295432,i,0.89303,23.520616
654536,60549.305537,i,0.873002,23.555022
654562,60549.317348,i,0.852891,23.589093
657400,60554.287608,u,1.083624,23.138294
658295,60555.258054,u,0.963359,23.158398
661026,60558.31582,r,0.897756,24.317421
661061,60558.331584,r,0.881342,24.353522
662433,60560.238415,u,1.439497,22.694761
662539,60560.288311,g,1.184715,24.330217
662586,60560.310347,g,1.144473,24.401934
665663,60568.304583,i,0.653021,23.562711
665701,60568.322181,i,0.643487,23.62465
667122,60570.250005,y,0.748333,21.788168
667149,60570.262162,y,0.731009,21.821769
670722,60575.244566,i,0.819217,23.179604
670765,60575.265083,i,0.792085,23.238641
670968,60575.360892,i,0.755607,23.332336
671002,60575.376577,i,0.762097,23.319482
671658,60578.270625,r,1.175604,23.951639
674104,60581.173874,r,1.198354,23.840237
676808,60584.208576,r,0.889655,24.272234
676841,60584.224205,r,0.862778,24.332548
680166,60588.162637,u,0.840938,23.281726
684468,60593.16424,r,0.783558,24.233779
685689,60595.189767,i,0.941834,23.304972
685716,60595.201951,i,0.92208,23.357156
687276,60597.159591,y,1.246637,21.220055
687405,60597.222623,i,1.189132,22.840312
687440,60597.2388,i,1.171887,22.881215
688416,60598.307017,z,0.779746,22.704026
688451,60598.326317,z,0.791038,22.725906
689831,60600.170055,y,0.793093,21.726522
689840,60600.174092,y,0.786803,21.737961
691013,60601.33412,z,0.638378,22.56651
691048,60601.351369,z,0.654369,22.54098
693870,60605.134045,r,0.794086,24.269971
693974,60605.184471,r,0.716432,24.27018
693998,60605.195244,r,0.706598,24.285706
694815,60606.202902,g,0.993133,24.128218
696246,60608.126803,r,0.717001,24.469409
698621,60611.118772,r,0.6264,24.616453
703723,60619.138044,g,0.779223,24.797185
703769,60619.159355,g,0.757202,24.862562
704745,60621.122366,r,0.751637,24.43463
705396,60622.074016,r,0.872634,24.095256
705440,60622.094632,r,0.825326,24.21363
706922,60624.078174,r,0.83057,23.958152
707630,60625.053664,z,0.996393,22.394768
707660,60625.067497,z,0.953523,22.480902
709972,60628.075317,y,1.071903,21.384365
721609,60647.02202,z,0.943876,21.863853
721639,60647.03558,z,0.914538,21.902689
726568,60654.032627,z,0.904388,21.919205
726608,60654.051685,z,0.877579,22.657699
731764,60661.162752,i,0.683962,23.380194
738185,60671.034326,y,0.656277,21.81017
738200,60671.041066,y,0.65306,21.817017
738202,60671.041985,y,0.652668,21.817853
742408,60677.068898,u,1.297464,23.054035
749662,60687.151435,z,0.834911,22.421437
749698,60687.168761,z,0.875045,22.330384
752723,60692.059128,y,0.637395,21.991204
765259,60709.027703,y,0.640358,21.83352
766975,60711.09952,i,0.68733,23.628263
767016,60711.118848,i,0.730628,23.53884
769988,60715.037186,z,0.624317,22.323887
770035,60715.059119,z,0.649496,22.892015
772396,60718.041854,y,0.876697,21.622906
778844,60727.023974,z,0.816275,22.028192
781420,60730.066288,g,1.083813,24.270743
